"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x18166778","x1164944146534195200",2019-08-23 16:55:02,"Jim_Jordan",".@CNN teams up with Andrew McCabe to attack the President.

The same McCabe who was out to stop President Trump and… https://t.co/yA7ADfDwp0","Twitter for iPhone",,,,,FALSE,FALSE,18977,7737,,,,,"twitter.com/i/web/status/1…","https://t.co/yA7ADfDwp0","https://twitter.com/i/web/status/1164944146534195200",,,,,,,,,"x759251","CNN","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1164944146534195200","Rep. Jim Jordan","Washington, D.C. ","Proudly serving Ohio's beautiful fourth district. Ranking Member on @GOPoversight. Fighting to #DoWhatWeSaid","https://t.co/wd2j7YpRZm",FALSE,681253,4310,3789,3423,1012,2008-12-16 17:20:24,TRUE,"https://t.co/wd2j7YpRZm","http://jordan.house.gov/",,"https://pbs.twimg.com/profile_banners/18166778/1406042839","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/596012379231617025/TtrAXbnA_normal.jpg"
"x208155240","x1166013704279855104",2019-08-26 15:45:05,"MariaBartiromo","Can the US consumer hold up the economy through China trade tensions? https://t.co/5TC95nckYw @MorningsMaria","Hootsuite Inc.",,,,,FALSE,FALSE,197,41,,,,,"ow.ly/85FR30ppYIi","https://t.co/5TC95nckYw","http://ow.ly/85FR30ppYIi",,,,,,,,,"x2330590446","MorningsMaria","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1166013704279855104","Maria Bartiromo","New York, NY","Anchor, Global Markets Editor Mornings with Maria @MorningsMaria 6-9 AM et M-F on @FoxBusiness & @SundayFutures 10:00 AM et Sundays @FoxNews 2-time Emmy winner","https://t.co/P2XOPgzZZ9",FALSE,515524,1365,4602,27751,16848,2010-10-26 18:58:26,TRUE,"https://t.co/P2XOPgzZZ9","http://www.MariaBartiromo.com",,"https://pbs.twimg.com/profile_banners/208155240/1530113997","http://abs.twimg.com/images/themes/theme16/bg.gif","http://pbs.twimg.com/profile_images/836620572259864576/2R_lcdhT_normal.jpg"
"x818910970567344128","x1166138073257787392",2019-08-26 23:59:17,"VP","In the days and weeks that lie ahead, we are going to continue to work every day to ensure that manufacturing acros… https://t.co/law4b2JA0W","Twitter for iPhone",,,,,FALSE,FALSE,1512,358,,,,,"twitter.com/i/web/status/1…","https://t.co/law4b2JA0W","https://twitter.com/i/web/status/1166138073257787392",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1166138073257787392","Vice President Mike Pence","Washington, D.C.","Vice President Mike Pence. Husband, father, & honored to serve as the 48th Vice President of the United States. Tweets may be archived: https://t.co/eVVzoBb3Zr","https://t.co/8TGZjBkuaR",FALSE,7786251,13,9474,7110,16,2017-01-10 20:02:44,TRUE,"https://t.co/8TGZjBkuaR","http://Whitehouse.gov",,"https://pbs.twimg.com/profile_banners/818910970567344128/1566670898",,"http://pbs.twimg.com/profile_images/951600999902281728/s-3S8iBE_normal.jpg"
"x2353605901","x1166136240439222272",2019-08-26 23:52:00,"GOPChairwoman","Under @realDonaldTrump:

*we’re standing up to China

*historic sanctions on Russia

*increased spending from NATO… https://t.co/ruYPJGzgtq","Sprout Social",,,,,FALSE,FALSE,3686,1332,,,,,"twitter.com/i/web/status/1…","https://t.co/ruYPJGzgtq","https://twitter.com/i/web/status/1166136240439222272",,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1166136240439222272","Ronna McDaniel","","@GOP Chairwoman | Wife, mother of two","https://t.co/PURDnkBdAH",FALSE,337671,2613,2057,11363,5887,2014-02-20 18:05:28,TRUE,"https://t.co/PURDnkBdAH","https://goo.gl/CYmMU2",,"https://pbs.twimg.com/profile_banners/2353605901/1541080717","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1094021853272784896/kyyA04f8_normal.jpg"
"x17685258","x1166109711625859072",2019-08-26 22:06:35,"parscale","60 miles of Border Wall has been finished in Arizona <U+2935><U+FE0F> 

#BuildTheWall 

https://t.co/raFRHayysm","Twitter for iPhone",,,,,FALSE,TRUE,0,684,,,"BuildTheWall",,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1166086173191811072/pu/img/71Ek-xwJaB9Gr1Zx.jpg","https://t.co/raFRHayysm","https://twitter.com/RyanAFournier/status/1166086517741064192/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1166086173191811072/pu/img/71Ek-xwJaB9Gr1Zx.jpg","https://t.co/raFRHayysm","https://twitter.com/RyanAFournier/status/1166086517741064192/video/1",,"x3981225735","TrumpStudents","en",,,,,,,,,,,,,,,,"x1166108056884776962","60 miles of Border Wall has been finished in Arizona <U+2935><U+FE0F> 

#BuildTheWall 

https://t.co/raFRHayysm",2019-08-26 22:00:00,"TweetDeck",2227,684,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1166109711625859072","Brad Parscale","Washington, DC","Campaign Manager for @realdonaldtrump 2020 Presidential Campaign. Proud to work for America’s best POTUS and help to Keep America Great!","https://t.co/tCuRLgA6VU",FALSE,353608,444,2272,4006,844,2008-11-27 18:47:32,TRUE,"https://t.co/tCuRLgA6VU","http://www.donaldjtrump.com/get-involved/",,"https://pbs.twimg.com/profile_banners/17685258/1566352630","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/1163983303990546432/DsHwG7n__normal.jpg"
"x818927131883356161","x1166048833475895296",2019-08-26 18:04:40,"PressSec","THANK YOU FRANCE<U+0001F1FA><U+0001F1F8><U+0001F1EB><U+0001F1F7>
#G7Biarritz https://t.co/AHaCT7d5eY","Twitter for iPhone",,,,,FALSE,TRUE,0,13575,,,"G7Biarritz",,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1166047882769620994/pu/img/IOfhObKZW5NEdD93.jpg","https://t.co/AHaCT7d5eY","https://twitter.com/realDonaldTrump/status/1166048146079666176/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1166047882769620994/pu/img/IOfhObKZW5NEdD93.jpg","https://t.co/AHaCT7d5eY","https://twitter.com/realDonaldTrump/status/1166048146079666176/video/1",,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,,,,"x1166048146079666176","THANK YOU FRANCE<U+0001F1FA><U+0001F1F8><U+0001F1EB><U+0001F1F7>
#G7Biarritz https://t.co/AHaCT7d5eY",2019-08-26 18:01:56,"Twitter for iPhone",60814,13575,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1166048833475895296","Stephanie Grisham","Washington, D.C.","@WhiteHouse Press Secretary. Proudly representing @POTUS Trump's Administration. Tweets may be archived: https://t.co/eVVzoBb3Zr.","https://t.co/wyOVgSLgBV",FALSE,4071163,290,9046,2700,684,2017-01-10 21:06:57,TRUE,"https://t.co/wyOVgSLgBV","http://www.WhiteHouse.gov",,"https://pbs.twimg.com/profile_banners/818927131883356161/1562183587",,"http://pbs.twimg.com/profile_images/1146507396354924552/ZCFExjL0_normal.png"
"x22703645","x1159464087484583937",2019-08-08 13:59:14,"TuckerCarlson","Here's why they're pushing racial division: so you won't notice the real divide, which is economic. https://t.co/ZVLvQn2u9O","Twitter Web App",,,,,FALSE,FALSE,26046,10086,,,,,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1159464041951182848/pu/img/7WwnrfwfSD5-8RVk.jpg","https://t.co/ZVLvQn2u9O","https://twitter.com/TuckerCarlson/status/1159464087484583937/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1159464041951182848/pu/img/7WwnrfwfSD5-8RVk.jpg","https://t.co/ZVLvQn2u9O","https://twitter.com/TuckerCarlson/status/1159464087484583937/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1159464087484583937","Tucker Carlson","Washington, DC","Host of ""Tucker Carlson Tonight"", weeknights at 8 PM ET @FoxNews. My #1 NYT best selling book #ShipOfFools is out now! Re-tweets are emphatic endorsements.","https://t.co/MKpmJMdXEF",FALSE,2758804,97,9385,3961,76,2009-03-04 00:03:12,TRUE,"https://t.co/MKpmJMdXEF","http://www.TuckerCarlson.com",,"https://pbs.twimg.com/profile_banners/22703645/1539207337","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/796823622450982912/XYcUsJUI_normal.jpg"
"x56561449","x1166098375399182336",2019-08-26 21:21:32,"JesseBWatters","<U+0001F64C><U+0001F3FB> https://t.co/RYV5dv8E2h","Twitter for iPhone",,,,,FALSE,FALSE,1300,122,,,,,"twitter.com/cablenewswatch…","https://t.co/RYV5dv8E2h","https://twitter.com/cablenewswatch/status/1166085583665602560",,,,,,,,,,,"und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json","Manhattan","Manhattan, NY","city","United States","US","NA NA","NA NA","-74.026675 -73.910408 -73.910408 -74.026675 40.683935 40.683935 40.877483 40.877483","https://twitter.com/NA/status/1166098375399182336","Jesse Watters","","Co-Host of @TheFive & Host of @WattersWorld on Fox News Channel. Speaking engagements with Premiere.","https://t.co/rlbjtqJwnw",FALSE,944067,1046,2640,10693,15505,2009-07-14 01:23:16,TRUE,"https://t.co/rlbjtqJwnw","https://www.instagram.com/jessewatters/",,"https://pbs.twimg.com/profile_banners/56561449/1455042293","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/697123861163192320/6ra0cPIS_normal.jpg"
"x822215673812119553","x1166176417970905088",2019-08-27 02:31:39,"WhiteHouse","Just returned to Washington from France and the very successful G-7, only to find that the Fake News is still tryin… https://t.co/gZKS1nx9lk","WH Digital",,,,,FALSE,TRUE,0,11357,,,,,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,,,,"x1166176076952940544","Just returned to Washington from France and the very successful G-7, only to find that the Fake News is still tryin… https://t.co/gZKS1nx9lk",2019-08-27 02:30:17,"Twitter for iPhone",49526,11357,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1166176417970905088","The White House","Washington, D.C.","Welcome to @WhiteHouse! Follow for the latest from President @realDonaldTrump and his Administration. Tweets may be archived: https://t.co/IURuMIrzxb","https://t.co/wyOVgSLgBV",FALSE,18972543,16,11180,10791,13,2017-01-19 22:54:27,TRUE,"https://t.co/wyOVgSLgBV","http://www.WhiteHouse.gov",,"https://pbs.twimg.com/profile_banners/822215673812119553/1553098760",,"http://pbs.twimg.com/profile_images/1059888693945630720/yex0Gcbi_normal.jpg"
"x823367015830323201","x1166174435637944321",2019-08-27 02:23:46,"Scavino45","President @realDonaldTrump and @FLOTUS walking from Marine One to the @WhiteHouse, returning from a GREAT #G7Summit… https://t.co/vHyMKU5reh","Twitter for iPhone",,,,,FALSE,FALSE,1668,503,,,"G7Summit",,"twitter.com/i/web/status/1…","https://t.co/vHyMKU5reh","https://twitter.com/i/web/status/1166174435637944321",,,,,,,,,"x25073877 x818876014390603776 x822215673812119553","realDonaldTrump FLOTUS WhiteHouse","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1166174435637944321","Dan Scavino Jr.<U+0001F1FA><U+0001F1F8>","1600 Pennsylvania Avenue ","Assistant to President @realDonaldTrump, Director of Social Media @WhiteHouse<U+0001F1FA><U+0001F1F8> Personal Twitter: @DanScavino","https://t.co/wyOVgSLgBV",FALSE,410195,849,2342,4175,1010,2017-01-23 03:09:28,TRUE,"https://t.co/wyOVgSLgBV","http://www.WhiteHouse.gov",,"https://pbs.twimg.com/profile_banners/823367015830323201/1562470456",,"http://pbs.twimg.com/profile_images/1135002180660977664/_jacP3pz_normal.jpg"
